"Url delle immagini prodotto","Nome Prodotto",Descrizione,Colore,"url img texture"
,,"<img src=""https://www.pedrali.itundefined""><br>",,
"https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_01_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_02_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_03_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_04_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_05_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_06_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_07_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_08_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_09_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_10_zoom.jpg; ","
                CIRCUIT CRTD_69X30
        ","<img src=""https://www.pedrali.it/export/sites/default/galleries/disegni/COMPLEMENTI/MM-IN/Circuit.png""><br>                        Il tavolino Circuit è leggero e versatile. Il suo tratto distintivo è il telaio continuo in tondino d’acciaio Ø 12 che, nella sezione che poggia al pavimento e in quella che sostiene il ripiano del tavolo, si caratterizza per una curva morbida e fluida. Abbinabile a ripiani tondi Ø 690 mm in diverse finiture.",BI100,/export/sites/default/galleries/colori/METALLI/VERNICIATO-PER-INTERNO/VERNICIATO-BI100.png
"https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_01_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_02_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_03_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_04_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_05_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_06_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_07_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_08_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_09_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_10_zoom.jpg; ","
                CIRCUIT CRTD_69X30
        ","<img src=""https://www.pedrali.it/export/sites/default/galleries/disegni/COMPLEMENTI/MM-IN/Circuit.png""><br>                        Il tavolino Circuit è leggero e versatile. Il suo tratto distintivo è il telaio continuo in tondino d’acciaio Ø 12 che, nella sezione che poggia al pavimento e in quella che sostiene il ripiano del tavolo, si caratterizza per una curva morbida e fluida. Abbinabile a ripiani tondi Ø 690 mm in diverse finiture.",NERO,/export/sites/default/galleries/colori/METALLI/VERNICIATO-PER-INTERNO/VERNICIATO-NERO.png
"https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_01_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_02_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_03_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_04_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_05_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_06_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_07_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_08_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_09_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_10_zoom.jpg; ","
                CIRCUIT CRTD_69X30
        ","<img src=""https://www.pedrali.it/export/sites/default/galleries/disegni/COMPLEMENTI/MM-IN/Circuit.png""><br>                        Il tavolino Circuit è leggero e versatile. Il suo tratto distintivo è il telaio continuo in tondino d’acciaio Ø 12 che, nella sezione che poggia al pavimento e in quella che sostiene il ripiano del tavolo, si caratterizza per una curva morbida e fluida. Abbinabile a ripiani tondi Ø 690 mm in diverse finiture.",TN,/export/sites/default/galleries/colori/METALLI/METALLI/METALLI-TN.png
"https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_01_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_02_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_03_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_04_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_05_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_06_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_07_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_08_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_09_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_10_zoom.jpg; ","
                CIRCUIT CRTD_69X30
        ","<img src=""https://www.pedrali.it/export/sites/default/galleries/disegni/COMPLEMENTI/MM-IN/Circuit.png""><br>                        Il tavolino Circuit è leggero e versatile. Il suo tratto distintivo è il telaio continuo in tondino d’acciaio Ø 12 che, nella sezione che poggia al pavimento e in quella che sostiene il ripiano del tavolo, si caratterizza per una curva morbida e fluida. Abbinabile a ripiani tondi Ø 690 mm in diverse finiture.",FNP_NE,/export/sites/default/galleries/colori/RIPIANI_FENIX/FNP-FNP_NE.png
"https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_01_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_02_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_03_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_04_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_05_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_06_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_07_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_08_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_09_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_10_zoom.jpg; ","
                CIRCUIT CRTD_69X30
        ","<img src=""https://www.pedrali.it/export/sites/default/galleries/disegni/COMPLEMENTI/MM-IN/Circuit.png""><br>                        Il tavolino Circuit è leggero e versatile. Il suo tratto distintivo è il telaio continuo in tondino d’acciaio Ø 12 che, nella sezione che poggia al pavimento e in quella che sostiene il ripiano del tavolo, si caratterizza per una curva morbida e fluida. Abbinabile a ripiani tondi Ø 690 mm in diverse finiture.",FNI3452,/export/sites/default/galleries/colori/FNI3452.png
"https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_01_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_02_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_03_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_04_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_05_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_06_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_07_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_08_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_09_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_10_zoom.jpg; ","
                CIRCUIT CRTD_69X30
        ","<img src=""https://www.pedrali.it/export/sites/default/galleries/disegni/COMPLEMENTI/MM-IN/Circuit.png""><br>                        Il tavolino Circuit è leggero e versatile. Il suo tratto distintivo è il telaio continuo in tondino d’acciaio Ø 12 che, nella sezione che poggia al pavimento e in quella che sostiene il ripiano del tavolo, si caratterizza per una curva morbida e fluida. Abbinabile a ripiani tondi Ø 690 mm in diverse finiture.",FNI3455,/export/sites/default/galleries/colori/FNI3455.png
"https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_01_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_02_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_03_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_04_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_05_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_06_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_07_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_08_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_09_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_69X30/Circuit_69X30_10_zoom.jpg; ","
                CIRCUIT CRTD_69X30
        ","<img src=""https://www.pedrali.it/export/sites/default/galleries/disegni/COMPLEMENTI/MM-IN/Circuit.png""><br>                        Il tavolino Circuit è leggero e versatile. Il suo tratto distintivo è il telaio continuo in tondino d’acciaio Ø 12 che, nella sezione che poggia al pavimento e in quella che sostiene il ripiano del tavolo, si caratterizza per una curva morbida e fluida. Abbinabile a ripiani tondi Ø 690 mm in diverse finiture.",CFC_BI,/export/sites/default/galleries/colori/RIPIANI_IN_STRATIFICATO/CFC-CFC_BI.png
"https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_01_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_02_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_03_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_04_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_05_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_06_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_07_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_08_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_09_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_10_zoom.jpg; ","
                CIRCUIT CRTD_42X45
        ","<img src=""https://www.pedrali.it/export/sites/default/galleries/disegni/COMPLEMENTI/MM-IN/Circuit.png""><br>                        Il tavolino Circuit è leggero e versatile. Il suo tratto distintivo è il telaio continuo in tondino d’acciaio Ø 11 che, nella sezione che poggia al pavimento e in quella che sostiene il ripiano del tavolo, si caratterizza per una curva morbida e fluida. Abbinabile a ripiani tondi Ø 425 mm in diverse finiture.",BI100,/export/sites/default/galleries/colori/METALLI/VERNICIATO-PER-INTERNO/VERNICIATO-BI100.png
"https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_01_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_02_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_03_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_04_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_05_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_06_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_07_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_08_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_09_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_10_zoom.jpg; ","
                CIRCUIT CRTD_42X45
        ","<img src=""https://www.pedrali.it/export/sites/default/galleries/disegni/COMPLEMENTI/MM-IN/Circuit.png""><br>                        Il tavolino Circuit è leggero e versatile. Il suo tratto distintivo è il telaio continuo in tondino d’acciaio Ø 11 che, nella sezione che poggia al pavimento e in quella che sostiene il ripiano del tavolo, si caratterizza per una curva morbida e fluida. Abbinabile a ripiani tondi Ø 425 mm in diverse finiture.",NERO,/export/sites/default/galleries/colori/METALLI/VERNICIATO-PER-INTERNO/VERNICIATO-NERO.png
"https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_01_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_02_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_03_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_04_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_05_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_06_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_07_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_08_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_09_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_10_zoom.jpg; ","
                CIRCUIT CRTD_42X45
        ","<img src=""https://www.pedrali.it/export/sites/default/galleries/disegni/COMPLEMENTI/MM-IN/Circuit.png""><br>                        Il tavolino Circuit è leggero e versatile. Il suo tratto distintivo è il telaio continuo in tondino d’acciaio Ø 11 che, nella sezione che poggia al pavimento e in quella che sostiene il ripiano del tavolo, si caratterizza per una curva morbida e fluida. Abbinabile a ripiani tondi Ø 425 mm in diverse finiture.",TN,/export/sites/default/galleries/colori/METALLI/METALLI/METALLI-TN.png
"https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_01_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_02_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_03_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_04_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_05_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_06_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_07_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_08_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_09_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_10_zoom.jpg; ","
                CIRCUIT CRTD_42X45
        ","<img src=""https://www.pedrali.it/export/sites/default/galleries/disegni/COMPLEMENTI/MM-IN/Circuit.png""><br>                        Il tavolino Circuit è leggero e versatile. Il suo tratto distintivo è il telaio continuo in tondino d’acciaio Ø 11 che, nella sezione che poggia al pavimento e in quella che sostiene il ripiano del tavolo, si caratterizza per una curva morbida e fluida. Abbinabile a ripiani tondi Ø 425 mm in diverse finiture.",FNP_NE,/export/sites/default/galleries/colori/RIPIANI_FENIX/FNP-FNP_NE.png
"https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_01_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_02_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_03_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_04_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_05_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_06_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_07_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_08_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_09_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_10_zoom.jpg; ","
                CIRCUIT CRTD_42X45
        ","<img src=""https://www.pedrali.it/export/sites/default/galleries/disegni/COMPLEMENTI/MM-IN/Circuit.png""><br>                        Il tavolino Circuit è leggero e versatile. Il suo tratto distintivo è il telaio continuo in tondino d’acciaio Ø 11 che, nella sezione che poggia al pavimento e in quella che sostiene il ripiano del tavolo, si caratterizza per una curva morbida e fluida. Abbinabile a ripiani tondi Ø 425 mm in diverse finiture.",FNI3452,/export/sites/default/galleries/colori/FNI3452.png
"https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_01_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_02_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_03_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_04_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_05_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_06_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_07_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_08_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_09_zoom.jpg; https://www.pedrali.it/export/sites/default/galleries/prodotti/COMPLEMENTI/CIRCUIT/CRTD_42X45/Circuit_42X45_10_zoom.jpg; ","
                CIRCUIT CRTD_42X45
        ","<img src=""https://www.pedrali.it/export/sites/default/galleries/disegni/COMPLEMENTI/MM-IN/Circuit.png""><br>                        Il tavolino Circuit è leggero e versatile. Il suo tratto distintivo è il telaio continuo in tondino d’acciaio Ø 11 che, nella sezione che poggia al pavimento e in quella che sostiene il ripiano del tavolo, si caratterizza per una curva morbida e fluida. Abbinabile a ripiani tondi Ø 425 mm in diverse finiture.",FNI3455,/export/sites/default/galleries/colori/FNI3455.png
